[Sat,11-Jul-Y,21:53:48][SYS][pub_dict.py,101,post][ERROR] Dict[config_type:USER]
[Sat,11-Jul-Y,21:55:01][SYS][pub_dict.py,102,post][ERROR] Dict[config_type:USER] Exist.
[Sun,12-Jul-Y,00:19:59][SYS][db.py,294,update][ERROR] pub_dict obj name:USER15, category:config_type15 unique check failed.
[Sun,12-Jul-Y,00:21:15][SYS][db.py,294,update][ERROR] pub_dict obj name:USER15, category:config_type15 unique check failed.
[Sun,12-Jul-Y,00:21:29][SYS][db.py,294,update][ERROR] pub_dict obj name:USER15, category:config_type15 unique check failed.
[Sun,12-Jul-Y,00:23:33][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,00:41:11][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,00:42:12][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,00:44:39][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,00:47:09][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,00:50:12][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,00:50:37][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,00:50:57][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,00:52:18][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,08:12:36][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,08:12:59][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,08:14:56][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,08:17:31][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,08:18:00][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,08:19:42][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,08:22:17][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,08:26:03][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,08:45:50][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,08:50:14][SYS][db.py,294,update][ERROR] Entity <pub_dict> obj update unique <name:USER15, category:config_type15> check failed.
[Sun,12-Jul-Y,10:03:27][SYS][pub_dict.py,104,post][ERROR] Dict[config_type::USER] Exist.
[Sun,12-Jul-Y,10:33:38][SYS][db.py,129,add][ERROR] Entity <pub_dict> obj update unique <name:USER, category:config_type> check failed.
[Sun,12-Jul-Y,16:24:16][SYS][db.py,129,add][ERROR] Entity <pub_dict> obj update unique <name:USER, category:config_type> check failed.
[Sun,12-Jul-Y,16:24:33][SYS][db.py,129,add][ERROR] Entity <pub_dict> obj update unique <name:USER, category:config_type> check failed.
[Sun,12-Jul-Y,16:26:38][SYS][db.py,129,add][ERROR] Entity <pub_dict> obj update unique <name:USER, category:config_type> check failed.
[Sun,12-Jul-Y,16:28:43][SYS][db.py,129,add][ERROR] Entity <pub_dict> obj update unique <name:USER, category:config_type> check failed.
[Sun,12-Jul-Y,16:29:22][SYS][db.py,129,add][ERROR] Entity <pub_dict> obj update unique <name:USER, category:config_type> check failed.
[Sun,12-Jul-Y,16:33:43][SYS][db.py,172,add_many][ERROR] Entity <pub_dict> obj update <name:USER, category:config_type> unique check failed.
[Sun,12-Jul-Y,16:36:02][SYS][db.py,172,add_many][ERROR] Entity <pub_dict> obj update <name:USER>, <name:USER>, <name:USER>, <name:USER>, <name:USER>, <name:USER>, <name:USER> unique check failed.
[Thu,16-Jul-Y,06:43:10][SYS][db.py,155,add][ERROR] Entity <pub_dict> obj update unique <name:USER, category:config_type> check failed.
